,,,,,,,revenue_per_person,customer_type 
,,,BoxPlotData,,,,0,Transient
,Average of revenue_per_person,,customer_type ,revenue_per_person ,,,0,Transient
Contract,234.4166824,,Contract,234.4166824,,,75,Transient
Group,136.6797474,,Group,136.6797474,,,75,Transient
Transient,192.0536891,,Transient,192.0536891,,,98,Transient
Transient-Party,155.776733,,Transient-Party,155.776733,,,98,Transient
Grand Total,185.6005433,,,,,,107,Transient
,,,,,,,103,Transient
,,,,,,,123,Transient
,,,,,,,158.25,Transient
,,,,,,,246,Transient
,,,,,,,290,Transient
,,,,,,,194,Transient
,,,,,,,206.36,Transient
,,,,,,,189.42,Transient
,,,,,,,194,Transient
,,,,,,,195,Contract
,,,,,,,44.1,Transient
,,,,,,,53.71,Transient
,,,,,,,306,Transient
,,,,,,,486.45,Transient
,,,,,,,254.01,Transient
,,,,,,,254.01,Transient
,,,,,,,299.01,Transient
,,,,,,,332.325,Contract
,,,,,,,222.6,Transient
,,,,,,,278.25,Contract
,,,,,,,374.5,Transient
,,,,,,,329,Transient
,,,,,,,305.55,Transient
,,,,,,,868,Transient
,,,,,,,478.95,Transient
,,,,,,,541.5,Transient
,,,,,,,196.5,Transient
,,,,,,,145.0666667,Transient
,,,,,,,145.0666667,Transient
,,,,,,,196,Transient
,,,,,,,145.0666667,Transient
,,,,,,,145.0666667,Transient
,,,,,,,342.5,Transient
,,,,,,,294.525,Transient
,,,,,,,198.75,Contract
,,,,,,,307.5,Transient
,,,,,,,342.5,Transient
,,,,,,,387.45,Transient
,,,,,,,267.75,Transient
,,,,,,,206.325,Transient
,,,,,,,290.08,Transient-Party
,,,,,,,288.225,Contract
,,,,,,,417.725,Transient
,,,,,,,236.53,Transient-Party
,,,,,,,308.055,Contract
,,,,,,,774.9,Contract
,,,,,,,44.1,Transient
,,,,,,,73.5,Transient
,,,,,,,26.75,Transient
,,,,,,,73.5,Transient
,,,,,,,58.95,Transient
,,,,,,,61.5,Transient
,,,,,,,98,Transient
,,,,,,,117.81,Transient
,,,,,,,135,Transient
,,,,,,,199.5,Transient
,,,,,,,88.425,Contract
,,,,,,,204.495,Transient
,,,,,,,76.5,Transient
,,,,,,,110.5,Transient
,,,,,,,97,Transient
,,,,,,,73.53333333,Transient
,,,,,,,82,Transient
,,,,,,,97,Transient
,,,,,,,73.8,Transient
,,,,,,,91.5,Transient
,,,,,,,114.5,Transient
,,,,,,,73.53333333,Transient
,,,,,,,136.35,Transient
,,,,,,,184.5,Transient
,,,,,,,488,Transient
,,,,,,,221.4,Transient
,,,,,,,228.96,Transient
,,,,,,,265.275,Contract
,,,,,,,278.4,Contract
,,,,,,,278.4,Contract
,,,,,,,620,Transient
,,,,,,,555.75,Contract
,,,,,,,943.11,Contract
,,,,,,,647.15,Transient
,,,,,,,761.11,Transient
,,,,,,,36.9,Transient
,,,,,,,49,Transient
,,,,,,,65.5,Transient
,,,,,,,61.5,Transient
,,,,,,,47.355,Transient
,,,,,,,61.5,Transient
,,,,,,,123,Transient
,,,,,,,73.8,Transient
,,,,,,,409.5,Transient
,,,,,,,458.5933333,Transient
,,,,,,,231.7,Transient
,,,,,,,318.325,Transient
,,,,,,,139.005,Transient
,,,,,,,107.325,Transient
,,,,,,,192.98,Transient
,,,,,,,257.4,Transient
,,,,,,,337.05,Transient
,,,,,,,285.25,Transient
